ID,Name,Brand,Missing Fields
cmg4f43et022tobfkd8awinzw,Latin Attitude Amour,Avon,"description"
cmg4f43ep0226obfkcf08z6fv,Incandessence,Avon,"description"
cmg4f43eu022zobfkeytbiqjz,Latin Attitude Friends,Avon,"description"
cmg4f43h802c1obfkks4kxf5n,Pretty Woman,Barbara Orbison,"description"
cmg4f443d02nrobfkzvu5kz0j,Kaidan,Black Phoenix Alchemy Lab,"description"
cmg4f443h02oiobfk1s9vapg2,Bien Loin d ici,Black Phoenix Alchemy Lab,"description"
cmg4f443j02p6obfkw437zm0s,Queen of Sheba,Black Phoenix Alchemy Lab,"description"
cmg4f443m02pwobfktjqurc0j,Dragon s Eye,Black Phoenix Alchemy Lab,"description"
cmg4f443o02qlobfko3dd287r,House of Night,Black Phoenix Alchemy Lab,"description"
cmg4f443q02r4obfkh6x03svo,Cathode,Black Phoenix Alchemy Lab,"description"
cmg4f44tc0346obfkz1k2f0o3,525,Bourbon French Parfums,"description"
cmg4f44tl035yobfk8e590skc,Eleftorea,Bourbon French Parfums,"description"
cmg4f43f00245obfku02drngr,Vibrant Orchid,Avon,"description"
cmg4f442x02jxobfkjf0ymt24,Ain t she cute,Betty Boop,"description"
cmg4f443d02npobfkix5fqewa,Det Patric Gleason,Black Phoenix Alchemy Lab,"description"
cmg4f443i02otobfkkgusq3zy,Libertine,Black Phoenix Alchemy Lab,"description"
cmg4f443k02pfobfky7y5lbbb,Siren,Black Phoenix Alchemy Lab,"description"
cmg4f443n02q4obfk0znjbq8q,Dragon s Musk,Black Phoenix Alchemy Lab,"description"
cmg4f443p02qrobfk1hzrfe7i,Aeval,Black Phoenix Alchemy Lab,"description"
cmg4f443q02rfobfkn1yyrpoz,Hurricane,Black Phoenix Alchemy Lab,"description"
cmg4f43g20268obfk7sz4h4l0,Rare Sapphires,Avon,"description"
cmg4f43g6027aobfkkgumj4cv,Simple Elements Perfect Cotton,Avon,"description"
cmg4f43gi029lobfk9nkfytvv,Wish of Luck,Avon,"description"
cmg4f43hb02ceobfk3xqenatv,Barbie Super Model,Barbie,"description"
